compatibility,tops,bottoms,shoes,bags,outerwear
1,dorothy perkins ivory patchwork cold-shoulder,denim skirt 34.99,tory burch carita straw 120mm,prada saffiano leather medium crossbody,_##_
1,frilled ruffles corduroy blouse,faux leather floral embroidered skirt,pre-owned pumps,ribbed chain kiss-lock closure tote,_##_
0,striped ruffles off shoulder blouse,color block self tie bathing,olivia miller natural crochet cosette,pu leather wood ball tassel,_##_
0,women black simple printed korean,frame denim le cut off,golden goose super star distressed,multi zips camo nylon backpack,_##_
1,steffen schraut college cotton wool,pierre balmain button-detailed quilted stretch-denim,stella mccartney metallic faux leather,adidas stella mccartney croc-effect neoprene,_##_
1,pineapple print cropped tank top,skinny ripped ankle jeans,color block cloth platform sandals,_##_,buttoned loose collarless long sleeve
0,plunge neck see through crochet,tome striped taffeta midi skirt,carvela gemma wedding high heeled,ralph lauren cross body fringed,turtleneck fringe poncho
0,georgia safari leopard blouse,lemlem halima striped cotton linen-blend,womens shoes cheap footwear sale,furla elle small leather tote,extra fine merino neck cardigan
0,rolf sweater aritzia,mink pink peppermint patty skirt,bold metallics underline flat,madden girl btrender backpack,_##_
1,stella mccartney sweaters,citizen humanity jeans,jimmy choo shoes,valentino totes,_##_
0,alexander wang neck shirt,citizens humanity distressed jeans,christian louboutin patent so kate,バッグ,gucci cape with funnel neck
0,alexander wang twist front crop,preowned herve leger white black,schutz nelda sandals,fendi peekaboo micro leather shoulder,_##_
0,alexander wang logo barcode shirt,closed stretch cotton cargo pants,leopard 40 print pointed toe,very metallic bucket beach bag,_##_
0,stretchy crop tank,christopher kane velcro opening silk,river island black chunky platform,satchels womens cambridge satchel,_##_
1,ladies short-sleeved camo tee walmart.com,stella mccartney flared jeans,justin gypsy womens square toe,_##_,_##_
0,falcon bloom lace boho blouse,pleated skirt,blue suede pointy-toe flats gianvito,chicwish black fringe knit strap,_##_
1,lace up back high collar,trendy bleach wash distressed ripped,trendy stiletto heel suede design,trendy color block tassels design,_##_
0,river island blue print shirt,look tricot cinza jeans,acne pistol boots,lanvin logo embossed tote,boohoo savannah crop leather look
